学校,所在学院,URL
中山大学南方学院,文学与传媒学院,http://wcy.nfu.edu.cn/a/xueyuangaikuang/zhuanyeshezhi/wangluoyuxinmeitix/
广州大学,新闻与传播学院,http：//xw.gzhu.edu.cn/info/1375/1950.htm
中山大学,传播与设计学院,http://scd.sysu.edu.cn/
浙江传媒学院,媒体工程学院,http://www.cuz.edu.cn/
中山大学新华学院,艺术设计与传媒学院,https://www.xhsysu.edu.cn
西北大学,新闻传播学院,https://xinwen.nwu.edu.cn/index.htm
中国传媒大学,新闻与媒体学院,http://www.cuc.edu.cn/
陕西师范大学,新闻与传播学院,http://www.snnu.edu.cn/
暨南大学,新闻与传播学院,https://xwxy.jnu.edu.cn/main.htm
华南师范大学,文学院,http://cmc.szu.edu.cn/Home/Default/CbDefault.html
深圳大学,文学与传媒学院,https://www.szu.edu.cn/index/xs.htm
